Claim ID,Vehicle style,Vehicle color,Vehicle Age,Make,VehiclePrice,Gender,Marital Status,State,Occupation,License Type,Drinking-and-Driving,Collission Types,Accident Reason,Holiday Weeks,AccidentArea,Weather,Accident Date,Claim Date,Police Notification,Passengers #,Repair amount,Sum Insured,Days_Policy_Claim,PastNumberOfClaims,AddressChange_Claim,BasePolicy,DriverRating,Fraud Detected
11,compacts,White,8,Mazda,more than 69000,0,Married,NT,Accountants,O,0,collision with stationary vehicle,Speeding,Yes,Urban,Snow/Sleet,25/11/2016,4/12/2015,0,4,"$2,677.00","$2,141.60",more than 30,none,no change,All Perils,3,0
12,Midsize,Blue,5,Honda,20000 to 29000,0,Single,NSW,Accountants,O,0,side swipe,Speeding,No,Urban,Snow/Sleet,20/10/2011,8/07/2011,1,2,"$6,636.00","$5,972.40",more than 30,2 to 4,no change,Liability,1,0
13,SUV,Yellow,6,Ford,more than 69000,1,Married,QLD,Accountants,P1 or P2,1,side swipe,Tailgating/aggressive driving,No,Urban,Rain,7/01/2011,27/10/2018,0,0,"$5,671.00","$5,103.90",more than 30,1,no change,Liability,1,0
14,SUV,Blue,13,Honda,more than 69000,1,Married,SA,medical assistants,O,1,side swipe,Driving drunk,Yes,Rural,Rain,4/05/2015,18/01/2010,1,0,"$6,430.00","$5,787.00",more than 30,none,no change,Collision,3,0
15,compacts,Grey,7,Ford,more than 69000,0,Single,NT,Cashiers,O,0,side swipe,Distracted driving,Yes,Urban,Icy pavement,26/03/2011,24/06/2013,0,3,"$4,252.00","$3,401.60",more than 30,none,no change,Liability,1,1
16,Midsize,Blue,7,Ford,more than 69000,1,Married,NT,Teacher,O,0,nose-to-tail,Speeding,No,Urban,Icy pavement,22/11/2010,18/10/2016,0,1,"$3,406.00","$2,724.80",more than 30,none,no change,Liability,1,0
17,compacts,Red,9,Ford,more than 69000,1,Married,NSW,Trailer Truck Drivers,O,0,nose-to-tail,Tailgating/aggressive driving,No,Urban,Wet pavement,1/06/2013,7/06/2010,1,4,"$2,151.00","$1,720.80",more than 30,none,no change,All Perils,4,1
18,Van,Yellow,1,Chevrolet,20000 to 29000,0,Married,NT,nurse,O,1,side swipe,Driving through red lights,Yes,Urban,Wet pavement,4/01/2017,25/07/2016,0,2,"$6,882.00","$6,193.80",more than 30,none,no change,Collision,1,1
19,Sport,Grey,13,Pontiac,20000 to 29000,0,Single,WA,Cashiers,O,1,nose-to-tail,Speeding,Yes,Urban,Wet pavement,2/04/2013,24/11/2019,0,1,"$5,658.00","$5,092.20",more than 30,1,no change,Liability,1,1
20,compacts,Green,14,Honda,more than 69000,0,NA,QLD,Accountants,O,0,nose-to-tail,Failing to give way,Yes,Urban,Wet pavement,1/11/2019,16/06/2020,0,2,"$2,092.00","$1,673.60",more than 30,2 to 4,no change,Liability,2,0
21,Subcompacts,Yellow,5,Mazda,20000 to 29000,0,Married,SA,engineer,O,0,nose-to-tail,Tailgating/aggressive driving,Yes,Urban,Wet pavement,15/02/2012,26/11/2020,0,2,"$2,458.00","$1,966.40",more than 30,1,no change,Liability,1,0
22,SUV,Black,5,Chevrolet,20000 to 29000,0,Single,SA,Cashiers,O,1,collision with an animal,Tailgating/aggressive driving,No,Urban,Rain,2/02/2014,9/10/2012,0,3,"$3,372.00","$2,697.60",more than 30,1,4 to 8 years,Collision,2,1
23,MPV,Black,12,Mazda,20000 to 29000,0,Married,WA,insurance sales agent,O,0,side swipe,Driving through red lights,No,Urban,Wet pavement,29/05/2011,16/01/2019,0,2,"$2,696.00","$2,156.80",more than 30,1,no change,Liability,3,1
24,Subcompacts,Grey,8,Pontiac,30000 to 39000,1,Single,WA,insurance sales agent,O,0,side swipe,Driving drunk,No,Urban,Wet pavement,15/12/2015,13/10/2018,1,0,"$1,549.00","$1,084.30",more than 30,none,no change,Liability,3,1
25,Midsize,Grey,12,Mazda,more than 69000,1,Married,NT,flight attendant,O,1,collision with stationary vehicle,Driving drunk,Yes,Urban,Snow/Sleet,26/03/2020,7/11/2012,1,2,"$4,935.00","$3,948.00",more than 30,more than 4,no change,All Perils,3,0
26,SUV,Black,11,Pontiac,20000 to 29000,0,Married,NT,Retails Salespersons,O,0,collision with stationary vehicle,Failing to give way,Yes,Urban,Icy pavement,27/01/2018,13/02/2014,0,2,$650.00,$455.00,more than 30,more than 4,no change,Liability,4,1
27,SUV,Green,2,Honda,30000 to 39000,0,Single,NT,Retails Salespersons,O,0,nose-to-tail,Tailgating/aggressive driving,Yes,Urban,Wet pavement,12/09/2020,1/03/2016,0,2,"$3,985.00","$3,188.00",more than 30,more than 4,no change,Collision,2,1
28,Subcompacts,Yellow,4,Accura,30000 to 39000,1,Single,NT,office clerks,O,0,side swipe,Speeding,No,Urban,Icy pavement,11/02/2017,30/06/2010,1,0,"$5,954.00","$5,358.60",more than 30,2 to 4,no change,All Perils,3,0
29,Midsize,White,5,Honda,more than 69000,1,Single,VIC,Retails Salespersons,L,0,collision with stationary vehicle,Speeding,No,Urban,Rain,30/12/2018,30/11/2017,1,2,"$6,852.00","$6,166.80",more than 30,none,no change,All Perils,1,1
30,Subcompacts,Green,1,Mazda,20000 to 29000,1,Single,ACT,Accountants,L,1,nose-to-tail,Distracted driving,Yes,Urban,Snow/Slushy pavement,16/09/2013,18/12/2013,0,4,"$4,065.00","$3,252.00",more than 30,none,no change,Collision,3,1
31,SUV,White,6,Dodge,30000 to 39000,0,Married,SA,medical assistants,O,0,nose-to-tail,Driving tired,Yes,Urban,Rain,18/12/2019,9/11/2011,0,4,"$3,618.00","$2,894.40",more than 30,2 to 4,no change,Collision,1,1
32,compacts,Black,10,Honda,more than 69000,1,NA,NT,flight attendant,O,0,side swipe,Speeding,No,Urban,Snow/Sleet,8/05/2018,20/06/2010,0,3,"$1,917.00","$1,341.90",more than 30,1,no change,Collision,1,0
33,City-cars,Black,1,Chevrolet,20000 to 29000,1,Married,QLD,marketing manager,O,1,nose-to-tail,Speeding,No,Urban,Icy pavement,31/05/2018,23/09/2012,0,2,"$6,245.00","$5,620.50",more than 30,more than 4,no change,Collision,3,0
34,Subcompacts,Grey,10,Honda,20000 to 29000,0,Single,NSW,information security analysts,O,0,nose-to-tail,Speeding,Yes,Urban,Icy pavement,16/06/2018,1/11/2014,0,1,"$1,427.00",$998.90,more than 30,none,no change,Collision,4,1
35,SUV,Red,2,Ford,more than 69000,1,Married,QLD,Cashiers,O,1,collision with reversing,Speeding,Yes,Urban,Wet pavement,29/11/2017,6/12/2011,0,1,"$5,612.00","$5,050.80",more than 30,2 to 4,no change,All Perils,1,1
36,compacts,Grey,9,Chevrolet,20000 to 29000,1,Single,WA,nurse,L,0,nose-to-tail,Speeding,Yes,Urban,Wet pavement,4/03/2012,7/12/2016,0,3,"$4,144.00","$3,315.20",more than 30,2 to 4,no change,Liability,3,1
37,compacts,Black,1,Honda,20000 to 29000,1,Single,QLD,dentists,O,0,collision with stationary vehicle,Tailgating/aggressive driving,No,Urban,Rain,6/11/2020,5/02/2018,0,3,"$4,947.00","$3,957.60",more than 30,none,no change,Collision,4,0
38,Sport,Black,15,Mazda,30000 to 39000,0,Married,NT,student,O,0,collision with stationary vehicle,Speeding,Yes,Urban,Rain,9/02/2019,15/12/2011,0,2,"$3,201.00","$2,560.80",more than 30,none,no change,Collision,2,0
39,SUV,Yellow,10,Honda,more than 69000,0,Married,VIC,dentists,O,0,collision with stationary vehicle,Speeding,Yes,Urban,Rain,7/05/2015,4/12/2010,0,2,$326.00,$0.00,more than 30,none,no change,Collision,1,1
40,compacts,Red,14,Toyota,20000 to 29000,0,Single,ACT,Cashiers,O,1,collision with stationary vehicle,Driving drunk,No,Urban,Wet pavement,17/12/2014,25/01/2011,0,2,"$6,224.00","$5,601.60",more than 30,none,no change,Collision,3,0
41,SUV,Black,15,Chevrolet,20000 to 29000,0,Single,ACT,student,L,0,collision with stationary vehicle,Tailgating/aggressive driving,Yes,Urban,Snow/Sleet,21/12/2018,22/10/2020,0,3,"$6,807.00","$6,126.30",more than 30,2 to 4,no change,Collision,1,1
42,SUV,Yellow,12,Pontiac,20000 to 29000,0,Married,ACT,Cashiers,O,1,nose-to-tail,Distracted driving,Yes,Urban,Rain,9/11/2017,27/03/2010,0,3,$896.00,$627.20,more than 30,2 to 4,no change,All Perils,1,0
43,Subcompacts,Red,11,Toyota,20000 to 29000,1,Single,ACT,Trailer Truck Drivers,O,0,collision with reversing,Poorly designed roads/intersections,No,Urban,Snow/Sleet,29/10/2011,3/06/2018,0,4,"$6,812.00","$6,130.80",more than 30,none,4 to 8 years,Liability,4,1
44,Subcompacts,Black,14,Honda,20000 to 29000,1,Married,VIC,office clerks,O,1,side swipe,Driving drunk,Yes,Urban,Snow/Sleet,5/06/2012,21/06/2012,0,1,"$6,978.00","$6,280.20",more than 30,2 to 4,no change,Collision,2,1
45,Subcompacts,Blue,5,Toyota,20000 to 29000,1,Married,NT,web developer,O,1,side swipe,Distracted driving,No,Urban,Snow/Sleet,1/08/2014,21/08/2010,0,1,"$3,882.00","$3,105.60",more than 30,none,no change,Collision,1,0
46,Subcompacts,Black,5,Pontiac,less than 20000,1,Single,VIC,college professor,O,1,collision with reversing,Tailgating/aggressive driving,Yes,Urban,Rain,19/05/2016,20/05/2020,0,4,"$6,140.00","$5,526.00",more than 30,2 to 4,no change,All Perils,3,1
47,Midsize,Black,9,Pontiac,30000 to 39000,1,Married,VIC,Security guards,O,0,nose-to-tail,Speeding,Yes,Urban,Wet pavement,30/03/2011,24/09/2011,1,0,"$3,964.00","$3,171.20",more than 30,none,no change,Collision,4,1
48,Subcompacts,White,6,Mazda,30000 to 39000,0,Married,SA,college professor,O,0,nose-to-tail,Driving through red lights,Yes,Urban,Icy pavement,1/12/2012,18/11/2010,1,4,"$5,920.00","$5,328.00",more than 30,2 to 4,no change,Liability,3,0
49,Subcompacts,Red,9,Chevrolet,more than 69000,0,Single,TAS,Security guards,O,0,side swipe,Tailgating/aggressive driving,Yes,Urban,Wet pavement,6/04/2020,31/01/2016,1,2,"$2,182.00","$1,745.60",more than 30,2 to 4,no change,Liability,1,0
50,SUV,Black,9,Pontiac,20000 to 29000,1,Married,ACT,engineer,O,1,nose-to-tail,Speeding,Yes,Urban,Icy pavement,4/07/2019,27/05/2010,1,2,"$3,269.00","$2,615.20",more than 30,more than 4,no change,Collision,4,0
51,MPV,Grey,4,Pontiac,30000 to 39000,0,Married,ACT,Accountants,O,1,side swipe,Tailgating/aggressive driving,No,Urban,Wet pavement,27/09/2020,20/03/2014,0,4,"$6,839.00","$6,155.10",more than 30,more than 4,no change,Liability,2,1
52,Midsize,Green,4,Pontiac,20000 to 29000,1,Married,QLD,Cashiers,O,0,nose-to-tail,Failing to give way,No,Urban,Snow/Sleet,16/02/2016,18/03/2010,0,0,"$1,228.00",$859.60,more than 30,2 to 4,2 to 3 years,Liability,3,0
53,Subcompacts,Grey,10,Honda,more than 69000,0,Married,NT,information security analysts,O,0,collision with reversing,Tailgating/aggressive driving,Yes,Rural,Wet pavement,28/01/2018,7/07/2016,0,2,$485.00,$0.00,more than 30,none,no change,Collision,4,0
54,Midsize,Yellow,6,Honda,20000 to 29000,0,Married,WA,Teacher,O,0,nose-to-tail,Driving drunk,Yes,Urban,Wet pavement,10/04/2019,14/04/2012,0,1,"$1,893.00","$1,325.10",more than 30,none,no change,Collision,1,0
55,Subcompacts,Black,11,Pontiac,30000 to 39000,0,Married,ACT,nurse,O,0,nose-to-tail,Driving drunk,Yes,Urban,Snow/Slushy pavement,27/05/2013,3/09/2014,0,4,"$1,981.00","$1,386.70",more than 30,1,no change,Collision,1,1
56,SUV,White,12,Mazda,20000 to 29000,0,Married,TAS,Accountants,O,1,collision with an animal,Speeding,Yes,Urban,Rain,19/11/2013,31/07/2015,0,0,"$6,986.00","$6,287.40",more than 30,none,no change,All Perils,4,1
57,City-cars,Green,14,Honda,20000 to 29000,1,Married,VIC,nurse,O,0,side swipe,Speeding,Yes,Urban,Fog,1/12/2010,11/02/2013,0,4,"$3,828.00","$3,062.40",more than 30,2 to 4,no change,All Perils,4,0
58,City-cars,Black,8,Accura,more than 69000,0,Married,NSW,medical assistants,L,1,collision with stationary vehicle,Driving drunk,Yes,Urban,Wet pavement,25/09/2016,6/05/2013,0,2,"$4,790.00","$3,832.00",more than 30,2 to 4,no change,Collision,3,1
59,compacts,Red,1,Honda,more than 69000,0,Single,QLD,Retails Salespersons,O,0,nose-to-tail,Driving through red lights,Yes,Rural,Wet pavement,23/02/2015,27/05/2012,1,4,"$2,920.00","$2,336.00",more than 30,none,no change,Liability,4,1
60,SUV,Red,14,Chevrolet,20000 to 29000,1,Married,TAS,Security guards,O,1,side swipe,Tailgating/aggressive driving,No,Urban,Icy pavement,8/02/2017,13/04/2011,0,1,"$3,723.00","$2,978.40",more than 30,none,no change,Collision,4,0
61,compacts,Red,11,Toyota,30000 to 39000,0,Single,VIC,flight attendant,O,0,side swipe,Driving drunk,Yes,Urban,Wet pavement,18/11/2014,4/03/2020,0,1,"$2,433.00","$1,946.40",more than 30,none,no change,All Perils,4,0
62,Executive,Red,5,Pontiac,40000 to 59000,0,Married,NSW,marketing manager,O,0,nose-to-tail,Speeding,Yes,Urban,Icy pavement,21/10/2017,27/04/2011,1,1,"$4,615.00","$3,692.00",more than 30,none,no change,Collision,4,1
63,Subcompacts,Yellow,9,Honda,more than 69000,0,Married,SA,Retails Salespersons,P1 or P2,0,side swipe,Tailgating/aggressive driving,No,Urban,Rain,24/11/2019,20/06/2015,0,2,"$5,346.00","$4,811.40",more than 30,2 to 4,no change,All Perils,2,1
64,Midsize,Grey,14,Toyota,20000 to 29000,0,Single,NT,Cashiers,O,0,nose-to-tail,Speeding,Yes,Urban,Rain,17/09/2020,19/03/2015,0,3,"$1,791.00","$1,253.70",more than 30,2 to 4,4 to 8 years,Liability,3,1
65,SUV,Green,3,Pontiac,20000 to 29000,0,Single,WA,lawyer,O,0,nose-to-tail,Speeding,Yes,Urban,Snow/Slushy pavement,20/10/2018,23/08/2012,0,2,$436.00,$0.00,more than 30,none,no change,Collision,1,0
66,Van,Blue,15,Mazda,20000 to 29000,1,NA,QLD,college professor,O,0,side swipe,Poorly designed roads/intersections,Yes,Urban,Snow/Sleet,11/01/2014,2/05/2012,0,2,"$1,545.00","$1,081.50",more than 30,none,no change,All Perils,3,1
67,Subcompacts,Green,13,Mercury,more than 69000,1,Married,TAS,Accountants,O,0,nose-to-tail,Distracted driving,No,Urban,Snow/Sleet,21/09/2011,31/07/2016,0,4,"$2,571.00","$2,056.80",more than 30,1,no change,Collision,2,0
68,Sport,Grey,8,Mazda,30000 to 39000,0,Single,QLD,nurse,O,0,nose-to-tail,Speeding,No,Urban,Wet pavement,21/06/2014,23/11/2018,0,2,$403.00,$0.00,more than 30,2 to 4,no change,Liability,1,0
69,SUV,Yellow,4,Toyota,20000 to 29000,0,Single,SA,insurance sales agent,O,0,nose-to-tail,Driving drunk,Yes,Urban,Icy pavement,23/10/2014,28/06/2019,0,4,"$3,113.00","$2,490.40",more than 30,1,no change,Collision,1,1
70,Subcompacts,Green,13,Honda,20000 to 29000,0,Married,WA,web developer,L,0,side swipe,Driving drunk,Yes,Urban,Wet pavement,16/06/2011,15/02/2018,0,3,"$6,973.00","$6,275.70",more than 30,2 to 4,no change,Liability,2,1
71,SUV,Grey,5,Honda,20000 to 29000,1,Single,WA,medical assistants,O,0,nose-to-tail,Driving drunk,Yes,Urban,Wet pavement,12/12/2014,18/01/2010,0,3,"$2,696.00","$2,156.80",more than 30,2 to 4,no change,Collision,1,0
72,SUV,Black,2,Mazda,20000 to 29000,1,Married,WA,web developer,O,0,side swipe,Poorly designed roads/intersections,No,Urban,Icy pavement,12/08/2016,11/10/2019,1,3,"$1,425.00",$997.50,more than 30,1,no change,Collision,3,0
73,compacts,Green,0,Chevrolet,20000 to 29000,0,Married,SA,flight attendant,O,1,collision with reversing,Driving through red lights,Yes,Urban,Snow/Sleet,29/01/2015,26/05/2014,0,0,$326.00,$0.00,more than 30,1,no change,Collision,3,1
74,SUV,Red,6,Honda,20000 to 29000,0,Married,TAS,Security guards,O,1,nose-to-tail,Speeding,No,Urban,Snow/Sleet,21/09/2010,30/03/2019,0,4,"$3,711.00","$2,968.80",more than 30,1,no change,Collision,2,0
75,City-cars,Grey,1,Mazda,more than 69000,0,Married,TAS,dentists,P,0,side swipe,Distracted driving,Yes,Urban,Wet pavement,25/09/2018,30/09/2017,1,1,"$3,464.00","$2,771.20",more than 30,more than 4,no change,Collision,3,1
76,Subcompacts,White,6,Ford,30000 to 39000,0,Married,SA,insurance sales agent,O,1,side swipe,Tailgating/aggressive driving,Yes,Urban,Snow/Slushy pavement,29/09/2019,7/11/2019,0,4,"$3,884.00","$3,107.20",more than 30,more than 4,no change,Collision,4,0
77,Van,Green,7,Chevrolet,20000 to 29000,1,Married,TAS,medical assistants,O,0,nose-to-tail,Distracted driving,Yes,Urban,Snow/Sleet,2/01/2020,24/08/2010,0,3,"$1,296.00",$907.20,more than 30,none,no change,All Perils,3,0
78,compacts,White,2,Honda,more than 69000,1,Married,TAS,Trailer Truck Drivers,O,0,collision with stationary vehicle,Tailgating/aggressive driving,Yes,Urban,Wet pavement,30/08/2017,13/08/2011,0,0,"$4,801.00","$3,840.80",more than 30,none,no change,Collision,3,0
79,Subcompacts,Green,0,Jaguar,30000 to 39000,1,Single,SA,web developer,O,0,nose-to-tail,Tailgating/aggressive driving,Yes,Rural,Rain,7/04/2019,3/05/2019,0,2,"$2,018.00","$1,614.40",more than 30,2 to 4,no change,Liability,1,0
80,SUV,Blue,11,Toyota,30000 to 39000,1,Single,SA,Cashiers,O,1,nose-to-tail,Driving tired,Yes,Urban,Snow/Sleet,8/08/2010,30/05/2018,0,3,"$4,110.00","$3,288.00",more than 30,2 to 4,no change,Collision,1,1
81,City-cars,Black,13,Pontiac,20000 to 29000,0,Married,VIC,engineer,O,1,collision with stationary vehicle,Distracted driving,Yes,Urban,Wet pavement,24/12/2015,21/05/2018,0,1,"$6,441.00","$5,796.90",more than 30,2 to 4,no change,Liability,4,0
82,SUV,Red,5,Mazda,20000 to 29000,1,Married,ACT,Accountants,O,0,collision with stationary vehicle,Speeding,Yes,Urban,Rain,30/03/2010,28/03/2015,0,0,"$1,381.00",$966.70,more than 30,1,no change,Liability,2,1
83,SUV,White,6,Chevrolet,more than 69000,1,Single,NSW,web developer,O,0,collision with reversing,Speeding,No,Urban,Wet pavement,20/05/2011,7/04/2011,1,4,"$4,026.00","$3,220.80",more than 30,none,no change,All Perils,4,0
84,SUV,Green,15,Toyota,20000 to 29000,0,Married,ACT,dentists,L,1,collision with an animal,Distracted driving,Yes,Urban,Rain,15/02/2011,27/08/2013,0,4,"$2,700.00","$2,160.00",more than 30,none,no change,Liability,4,0
85,SUV,White,13,Honda,more than 69000,0,Married,ACT,college professor,O,0,nose-to-tail,Speeding,Yes,Urban,Wet pavement,11/03/2018,10/12/2018,1,2,"$3,890.00","$3,112.00",more than 30,more than 4,4 to 8 years,Liability,2,0
86,compacts,Yellow,9,Chevrolet,more than 69000,0,Single,WA,lawyer,O,0,nose-to-tail,Speeding,Yes,Rural,Wet pavement,17/09/2015,24/12/2019,0,3,"$4,872.00","$3,897.60",more than 30,1,no change,Liability,4,1
87,SUV,Red,8,Toyota,20000 to 29000,0,Single,TAS,Security guards,O,0,nose-to-tail,Poorly designed roads/intersections,Yes,Urban,Wet pavement,7/09/2016,23/07/2020,0,0,"$6,703.00","$6,032.70",more than 30,1,no change,Collision,3,1
88,SUV,Blue,12,Mazda,20000 to 29000,1,Married,SA,web developer,O,0,nose-to-tail,Poorly designed roads/intersections,No,Urban,Wet pavement,24/03/2020,7/05/2015,0,2,"$6,479.00","$5,831.10",more than 30,2 to 4,no change,All Perils,2,0
89,Midsize,Black,9,Pontiac,30000 to 39000,0,Single,NT,Trailer Truck Drivers,O,0,side swipe,Driving drunk,No,Urban,Rain,17/01/2010,11/07/2017,0,2,"$4,620.00","$3,696.00",more than 30,none,no change,All Perils,4,0
90,compacts,White,9,Honda,20000 to 29000,0,Single,ACT,Security guards,O,0,nose-to-tail,Driving drunk,No,Urban,Snow/Slushy pavement,23/02/2017,26/12/2015,0,0,$774.00,$541.80,more than 30,2 to 4,no change,Liability,2,0
91,SUV,Black,14,Honda,more than 69000,0,Married,TAS,office clerks,O,1,side swipe,Driving through red lights,Yes,Urban,Rain,11/05/2018,21/02/2018,0,0,"$6,965.00","$6,268.50",more than 30,none,no change,Collision,1,1
92,compacts,Black,0,Pontiac,20000 to 29000,1,NA,SA,flight attendant,L,0,collision with stationary vehicle,Speeding,No,Urban,Wet pavement,7/12/2014,4/07/2011,1,0,"$3,826.00","$3,060.80",more than 30,more than 4,1 year,Liability,2,0
93,SUV,White,15,Honda,30000 to 39000,1,Married,SA,student,O,1,side swipe,Driving drunk,Yes,Urban,Wet pavement,26/02/2017,20/01/2016,0,4,"$3,288.00","$2,630.40",more than 30,2 to 4,no change,All Perils,1,0
94,Sport,Grey,10,Pontiac,20000 to 29000,1,NA,NT,lawyer,O,0,nose-to-tail,Distracted driving,Yes,Urban,Wet pavement,9/09/2012,11/09/2020,0,4,"$4,815.00","$3,852.00",more than 30,2 to 4,no change,Collision,3,0
95,Subcompacts,Black,11,Honda,more than 69000,1,Single,ACT,Teacher,O,0,nose-to-tail,Distracted driving,No,Urban,Icy pavement,23/10/2011,22/11/2013,0,1,"$4,967.00","$3,973.60",more than 30,none,no change,Collision,3,0
96,SUV,Black,14,Honda,30000 to 39000,1,Married,WA,dentists,L,0,side swipe,Driving tired,No,Urban,Icy pavement,24/05/2019,15/01/2017,0,1,"$5,687.00","$5,118.30",more than 30,none,no change,Collision,4,1
97,Subcompacts,Red,7,Toyota,20000 to 29000,0,Single,VIC,Retails Salespersons,O,0,side swipe,Speeding,No,Urban,Snow/Slushy pavement,21/02/2016,19/09/2010,0,1,"$6,710.00","$6,039.00",more than 30,1,no change,Collision,2,1
98,SUV,Yellow,0,Toyota,less than 20000,0,Married,SA,office clerks,O,0,nose-to-tail,Tailgating/aggressive driving,No,Urban,Wet pavement,13/07/2012,4/08/2019,0,3,"$6,056.00","$5,450.40",more than 30,1,no change,All Perils,4,0
99,SUV,Grey,7,Pontiac,20000 to 29000,0,Single,QLD,medical assistants,O,0,collision with reversing,Speeding,Yes,Urban,Rain,21/02/2016,23/10/2015,1,4,"$2,033.00","$1,626.40",more than 30,2 to 4,no change,All Perils,4,1
100,Midsize,Yellow,10,Pontiac,20000 to 29000,1,Married,TAS,dentists,O,1,collision with an animal,Distracted driving,Yes,Urban,Wet pavement,22/03/2018,27/05/2012,0,0,"$3,869.00","$3,095.20",more than 30,1,no change,All Perils,1,0
101,Subcompacts,Grey,14,Chevrolet,more than 69000,0,Married,WA,Security guards,P1 or P2,0,nose-to-tail,Speeding,Yes,Urban,Snow/Sleet,11/11/2017,20/05/2011,0,1,"$1,750.00","$1,225.00",more than 30,more than 4,no change,All Perils,1,0
102,SUV,Red,14,Pontiac,20000 to 29000,1,NA,SA,flight attendant,L,0,collision with stationary vehicle,Failing to give way,Yes,Urban,Rain,1/06/2020,25/05/2010,0,0,"$5,156.00","$4,640.40",more than 30,1,no change,All Perils,4,1
103,compacts,Red,8,Ford,more than 69000,1,Married,TAS,student,L,1,nose-to-tail,Speeding,Yes,Urban,Rain,28/11/2010,19/08/2015,0,4,"$5,324.00","$4,791.60",more than 30,2 to 4,no change,All Perils,2,1
104,compacts,Green,2,Mazda,20000 to 29000,0,Married,VIC,engineer,O,1,nose-to-tail,Speeding,Yes,Urban,Snow/Sleet,23/12/2011,1/04/2017,0,3,"$4,659.00","$3,727.20",more than 30,none,no change,All Perils,3,0
105,Subcompacts,Yellow,12,Pontiac,20000 to 29000,1,Married,QLD,engineer,O,0,side swipe,Speeding,No,Urban,Rain,7/10/2020,2/08/2016,1,1,"$1,607.00","$1,124.90",more than 30,2 to 4,no change,All Perils,4,0
106,compacts,Green,10,Dodge,more than 69000,1,Single,VIC,office clerks,O,0,collision with an animal,Speeding,Yes,Urban,Rain,12/02/2010,4/07/2014,0,4,"$1,658.00","$1,160.60",more than 30,none,4 to 8 years,Liability,1,1
107,compacts,Grey,2,Mazda,20000 to 29000,0,Single,SA,office clerks,L,0,side swipe,Poorly designed roads/intersections,Yes,Urban,Rain,5/05/2011,8/01/2016,0,3,$213.00,$0.00,more than 30,2 to 4,no change,Collision,2,0
108,compacts,Green,15,Pontiac,20000 to 29000,1,Single,TAS,dentists,O,0,nose-to-tail,Tailgating/aggressive driving,Yes,Urban,Icy pavement,20/04/2014,8/09/2013,0,0,"$5,674.00","$5,106.60",more than 30,none,no change,All Perils,1,0
109,Midsize,Black,6,Chevrolet,20000 to 29000,1,NA,QLD,web developer,O,0,side swipe,Tailgating/aggressive driving,Yes,Urban,Wet pavement,9/05/2010,16/07/2011,1,2,"$2,505.00","$2,004.00",more than 30,1,no change,All Perils,1,0
